,target
718,1601960.8
719,528318.5
720,1396402.4
721,3163405.0
722,1567030.6
723,3215413.2
724,453277.16
725,264783.47
726,3808434.2
727,5127627.0
728,2892913.8
729,2703945.2
730,5621405.0
731,506079.97
732,817493.1
733,2483887.5
734,2738847.0
735,2716501.8
736,727005.2
737,392471.88
738,2841012.0
739,1191773.0
740,4433209.5
741,1573599.9
742,3398839.5
743,1650588.2
744,2334513.8
745,319742.22
746,2806633.8
747,1200025.1
748,2037652.5
749,1370300.9
750,2705707.0
751,3102874.5
752,4517667.5
753,1840988.4
754,1668527.6
755,1645727.8
756,1766675.8
757,2282296.0
758,3623398.5
759,654988.3
760,2942318.0
761,1325344.1
762,2184352.5
763,2636442.0
764,3807404.2
765,2002493.9
766,1503290.5
767,1488861.9
768,3111438.0
769,5598062.0
770,4420343.0
771,4873642.0
772,2315757.5
773,4661895.0
774,640683.44
775,2855879.2
776,1062133.5
777,2789447.0
778,1449478.1
779,462071.94
780,2846701.8
781,5216846.5
782,4250108.0
783,1644335.9
784,924977.7
785,5089549.5
786,485458.28
787,731105.44
788,1570087.4
789,3124226.5
790,2160395.5
791,4532213.5
792,1370314.8
793,395788.34
794,2443302.5
795,3793140.2
796,1507569.0
797,2574746.5
798,1330987.5
799,3683012.2
800,1714997.4
801,857163.06
802,2971508.8
803,2206445.2
804,2209361.5
805,6422546.5
806,1922903.1
807,5307845.0
808,5870855.5
809,489688.28
810,1796036.6
811,2919726.5
812,1412873.1
813,792833.7
814,4464074.5
815,4839765.5
816,1118738.5
817,555536.56
818,1036809.4
819,1089365.4
820,2552150.8
821,816417.94
822,463580.28
823,2499988.8
824,1229838.5
825,3587523.5
826,2511619.0
827,1227774.4
828,2442096.2
829,4907934.0
830,3630403.5
831,2757009.0
832,1036422.75
833,2841270.8
834,3802296.5
835,1547721.4
836,637609.75
837,1453647.9
838,1784013.4
839,1948454.5
840,1121965.9
841,2892624.5
842,5880306.5
843,1839666.5
844,977358.06
845,1569097.1
846,5449423.5
847,6032740.0
848,2313634.2
849,154474.88
850,3079268.0
851,1487047.1
852,1434910.8
853,296166.38
854,3266548.8
855,2520521.0
856,1413810.6
857,2084652.6
858,1407673.2
859,745485.0
860,1197000.2
861,731747.44
862,317543.78
863,5061899.0
864,1709929.0
865,3183546.2
866,4706601.5
867,738346.3
868,2654132.0
869,1698820.0
870,1427297.8
871,1274929.4
872,682891.0
873,364125.28
874,2850435.8
875,1128409.0
876,5077236.0
877,4404339.5
878,2967273.0
879,3804278.0
880,919298.8
881,2111296.0
882,3360272.0
883,1923728.2
884,722302.56
885,4733489.0
886,3428807.2
887,4420080.0
888,1659156.0
889,1849668.0
890,590742.06
891,4564214.5
892,1669411.1
893,340783.9
894,3601377.8
895,5143874.0
896,4249794.0
897,7105299.5
898,351115.5
899,1033708.44
900,660482.5
901,1803626.1
902,2053781.5
903,951610.75
904,2377982.0
905,1866422.0
906,1633352.9
907,2858650.5
908,4631146.0
909,1889808.2
910,2714973.8
911,4235029.5
912,867629.25
913,6067879.5
914,1437862.6
915,3411601.5
916,238262.28
917,5113662.0
918,4189465.0
919,1638184.2
920,1569257.5
921,1427174.6
922,1342484.2
923,2189949.5
924,4382100.0
925,4911124.0
926,3428444.5
927,4173796.2
928,6038217.0
929,3951590.2
930,2824541.0
931,625064.94
932,748880.3
933,3519673.0
934,8657922.0
935,4300011.0
936,4576399.5
937,3928302.8
938,1233378.4
939,2296397.5
940,1363561.6
941,1376663.1
942,2599929.0
943,1539761.1
944,3532881.8
945,3059739.8
946,2173798.5
947,1094123.1
948,1229164.4
949,3293447.5
950,1337173.1
951,7154014.0
952,3260609.2
953,1594761.0
954,925147.2
955,3012419.0
956,2379210.8
957,1232916.4
958,1266189.4
959,2884715.8
960,3514842.0
961,1944870.1
962,1037298.06
963,6341032.0
964,1429802.4
965,2321816.2
966,478672.0
967,1674301.1
968,1886544.5
969,2805530.5
970,5887929.0
971,3504791.0
972,4571409.0
973,1105474.8
974,2949213.0
975,1371817.6
976,2092785.1
977,607994.5
978,5659240.0
979,1887196.0
980,1701283.2
981,7120515.0
982,3498404.0
983,1595659.1
984,8066581.5
985,1274904.0
986,5459342.0
987,3962557.5
988,5015305.5
989,1376247.9
990,2443694.8
991,1655936.9
992,642265.4
993,2567343.8
994,1095542.8
995,2597104.8
996,1487353.0
997,1896150.4
998,2874386.0
999,3620838.2
1000,1140597.2
1001,746342.2
1002,4573586.0
1003,2138290.5
1004,2985166.8
1005,855419.6
1006,1527969.4
1007,420839.06
1008,890726.6
1009,2242943.5
1010,1755510.9
1011,1023453.4
1012,2786757.0
1013,1434538.5
1014,1176949.8
1015,5935646.0
1016,7150696.0
1017,3328606.8
1018,4684669.5
1019,267828.44
1020,4646721.5
1021,1556444.9
1022,4917856.0
1023,2560004.8
1024,818723.56
1025,3857313.2
1026,6863853.0
1027,881905.2
1028,1017624.5
1029,4218219.0
1030,2980666.5
1031,1670548.1
1032,357993.94
1033,917367.9
1034,705104.75
1035,3009652.0
1036,1614228.9
1037,190782.36
1038,865689.06
1039,1318377.1
1040,1817877.5
1041,437202.16
1042,745816.3
1043,1730552.0
1044,2671430.8
1045,1017939.7
1046,3129177.5
1047,619188.3
1048,1567620.9
1049,1358371.1
1050,4183184.5
1051,897446.3
1052,2158963.0
1053,546672.06
1054,689524.44
1055,5013342.5
1056,2223455.0
1057,3124160.2
1058,2597489.2
1059,1896547.2
1060,1648172.6
1061,3099271.2
1062,1246732.5
1063,1881883.1
1064,3790286.5
1065,1359828.8
1066,2140995.5
1067,667538.5
1068,357004.84
1069,7294316.0
1070,720128.56
1071,1730605.2
1072,3185491.2
1073,3605966.2
1074,3052935.8
1075,1831202.1
1076,4352757.0
1077,866557.44
1078,617905.1
1079,2908752.8
1080,1604557.5
1081,2413049.2
1082,2449216.2
1083,592515.3
1084,902081.06
1085,915424.94
1086,1994073.5
1087,950326.9
1088,3906034.5
1089,1194246.1
1090,1576686.0
1091,5676504.5
1092,1691211.4
1093,2012671.2
1094,2687712.5
1095,328498.34
1096,1749486.2
1097,467155.2
1098,1338442.9
1099,6656280.0
1100,2478229.5
1101,1551203.1
1102,1597020.2
1103,1116486.4
1104,2350253.0
1105,1150095.0
1106,1921575.9
1107,3082150.8
1108,1141674.4
1109,4031712.8
1110,1086752.8
1111,307768.12
1112,1929591.4
1113,1195488.8
1114,682653.5
1115,2035377.2
1116,3244697.0
1117,4705643.0
1118,3358609.2
1119,204294.0
1120,4541496.0
1121,2245308.5
1122,5026653.5
1123,4649563.0
1124,2703419.8
1125,412182.53
1126,1702697.6
1127,1936095.2
1128,2055080.2
1129,6759402.5
1130,3088773.5
1131,1547057.9
1132,1126384.4
1133,550154.7
1134,2985152.5
1135,1659266.4
1136,3057357.0
1137,796581.2
1138,2850136.8
1139,1941883.6
1140,4198383.5
1141,3688366.0
1142,610256.75
1143,2983801.8
1144,2405463.0
1145,3418585.8
1146,483711.84
1147,459241.47
1148,635322.8
1149,5008411.0
1150,4479843.0
1151,2217556.5
1152,5559132.5
1153,1794123.2
1154,3196162.0
1155,2219164.0
1156,1308434.5
1157,760443.3
1158,1726464.2
1159,1973957.2
1160,3228729.8
1161,2454989.8
1162,7212234.5
1163,455259.03
1164,1681783.9
1165,3370655.5
1166,1022086.44
1167,2841172.0
1168,1590319.9
1169,5907566.5
1170,749190.94
1171,1512962.5
1172,3224623.2
1173,3289170.0
1174,3100703.0
1175,2105048.0
1176,1414533.8
1177,3070815.0
1178,3662289.5
1179,334121.47
1180,4554711.5
1181,1505535.1
1182,1294959.4
1183,3575620.8
1184,2474835.2
1185,4203752.5
1186,4853924.0
1187,3637930.0
1188,1847084.1
1189,597223.56
1190,3751000.5
1191,3572664.2
1192,1786764.1
1193,5034744.0
1194,1374874.1
1195,593075.0
1196,6478346.5
1197,2083972.5
1198,1049994.6
1199,1460362.8
1200,503323.03
1201,3712528.8
1202,1986239.4
1203,3756499.0
1204,3198544.5
1205,3539801.8
1206,1709660.9
1207,2961750.8
1208,1499835.2
1209,3458395.5
1210,1104284.4
1211,3894994.5
1212,4410966.5
1213,1684234.1
1214,1988632.5
1215,1267526.9
1216,3198954.0
1217,5376350.0
1218,3018511.0
1219,966038.8
1220,234259.53
1221,1006351.1
1222,3678409.8
1223,3856555.8
1224,4906233.5
1225,1488240.0
1226,1839918.4
1227,644645.1
1228,1384435.8
1229,2214628.0
1230,1831044.5
1231,840318.5
1232,6098597.0
1233,576048.94
1234,5190183.5
1235,1491011.2
1236,702947.2
1237,5262900.5
1238,1268901.4
1239,2092861.9
1240,6148271.0
1241,2055830.0
1242,6007868.5
1243,3151142.5
1244,2050037.2
1245,1675800.5
1246,1494467.0
1247,1062520.6
1248,1547186.2
1249,1718236.8
1250,375633.44
1251,6416869.0
1252,4659168.5
1253,1771097.0
1254,1682153.0
1255,1904605.4
1256,2131995.2
1257,719265.56
1258,1928797.0
1259,3090437.0
1260,247969.7
1261,938423.3
1262,3550310.8
1263,2535265.0
1264,2038751.5
1265,2026233.5
1266,1462378.0
1267,2168052.8
1268,4131743.8
1269,790958.06
1270,3197017.5
1271,2501829.0
1272,2153431.5
1273,2799777.8
1274,963281.4
1275,2819493.2
1276,1459595.5
1277,1978274.2
1278,752934.9
1279,1731339.8
1280,1388452.0
1281,2611205.2
1282,1401377.6
1283,3233626.2
1284,245045.0
1285,1168125.1
1286,956499.0
1287,1418522.9
1288,4075025.8
1289,1943058.2
1290,3116338.2
1291,3196975.2
1292,915346.25
1293,866987.8
1294,2454073.5
1295,2594346.0
1296,2530682.5
1297,2833154.2
1298,1365180.4
1299,3204697.8
1300,986006.3
1301,2065598.6
1302,896122.94
1303,1341496.4
1304,3088681.8
1305,2524488.0
1306,1826064.9
1307,705846.3
1308,6804098.5
1309,1085008.0
1310,2114736.8
1311,1687323.0
1312,787952.4
1313,3579223.5
1314,2280624.0
1315,1814843.9
1316,593236.44
1317,1079600.9
1318,4406512.5
1319,6071108.0
1320,614259.4
1321,3588102.5
1322,2160585.2
1323,2284042.2
1324,5060322.5
1325,1529767.4
1326,2945159.0
1327,5152509.5
1328,2009960.6
1329,1138181.0
1330,4096197.2
1331,2565338.8
1332,220283.64
1333,1474700.9
1334,3423275.2
1335,567679.1
1336,1626204.1
1337,3019279.0
1338,1921856.2
1339,1640301.2
1340,3068700.5
1341,5161443.5
1342,557006.25
1343,4493104.0
1344,3818016.2
1345,1405913.1
1346,2776111.8
1347,6840139.5
1348,971683.56
1349,985842.2
1350,3521437.2
1351,4969597.5
1352,4548395.5
1353,1790426.2
1354,2937410.2
1355,798493.75
1356,5701485.5
1357,598339.1
1358,1944047.5
1359,4159267.8
1360,5747767.0
1361,1417869.8
1362,1455070.8
1363,4569190.5
1364,2510011.8
1365,803722.2
1366,2849760.5
1367,3465119.8
1368,571496.44
1369,3303340.5
1370,4269635.5
1371,1100754.2
1372,4943792.5
1373,804988.8
1374,5553837.0
1375,1452334.6
1376,5960572.5
1377,2806531.8
1378,2926544.8
1379,3491954.8
1380,3788991.5
1381,565725.8
1382,2997151.5
1383,2600980.8
1384,1253857.2
1385,380963.3
1386,526741.8
1387,3115964.0
1388,2841164.0
1389,3375597.8
1390,841456.44
1391,421348.6
1392,3433023.8
1393,494336.44
1394,1891922.2
1395,1105269.2
1396,1620982.4
1397,1082561.1
1398,575276.9
1399,1513239.9
1400,318067.88
1401,3120001.0
1402,4355564.0
1403,1532538.8
1404,3631882.5
1405,749390.5
1406,1052485.8
1407,1414776.4
1408,3392011.5
1409,5874622.5
1410,2818140.8
1411,2237845.2
1412,3464929.0
1413,420444.9
1414,4366360.5
1415,1607873.6
1416,1056788.2
1417,2269770.5
1418,2422023.2
1419,1319121.1
1420,2759236.8
1421,1534286.9
1422,4167156.2
1423,1216356.6
1424,219905.89
1425,1848561.9
1426,4995001.5
1427,1239084.9
1428,1844133.5
1429,3779315.5
1430,369809.25
1431,2427126.8
1432,2947376.2
1433,583618.8
1434,2663924.8
1435,5481029.0
1436,313436.06
1437,4556068.0
1438,1454056.8
1439,7506933.0
1440,1438940.1
1441,1100914.9
1442,2925017.2
1443,2536498.0
1444,837630.2
1445,2095263.1
1446,3252512.5
1447,673810.4
1448,1152987.9
1449,814039.2
1450,1506489.4
1451,6352014.5
1452,2989245.0
1453,2023577.1
1454,851402.6
1455,3457776.0
1456,4670108.0
1457,1977553.0
1458,1555002.1
1459,3686487.5
1460,4373265.0
1461,1889265.2
1462,1744995.5
1463,1831829.8
1464,2397602.2
1465,2549193.0
1466,1968176.0
1467,2275692.5
1468,917830.56
1469,1842713.4
1470,3298948.5
1471,1875306.8
1472,1503239.4
1473,649979.44
1474,3149168.8
1475,5625268.5
1476,463201.66
1477,1953967.9
1478,2238504.5
1479,337653.72
1480,3146092.2
1481,1972300.2
1482,2210436.5
1483,1449733.6
1484,835346.7
1485,1715154.0
1486,4605436.0
1487,629121.0
1488,1719447.2
1489,2375461.8
1490,585016.0
1491,940821.6
1492,4510929.0
1493,1847458.2
1494,4513289.0
1495,2132293.2
1496,1669013.2
1497,2356727.0
1498,1933419.4
1499,2767184.2
1500,1529688.6
1501,2817075.2
1502,3166451.8
1503,710236.7
1504,2203740.0
1505,890932.0
1506,2780366.8
1507,3005899.5
1508,2815623.0
1509,1127197.0
1510,1267648.5
1511,1983399.6
1512,3064156.0
1513,1666228.9
1514,3009764.2
1515,279871.34
1516,6173265.0
1517,696293.4
1518,3472498.2
1519,3946454.2
1520,2920997.2
1521,2588036.2
1522,2579172.5
1523,966263.7
1524,430491.3
1525,4393076.5
1526,2974976.0
1527,753343.56
1528,1278463.2
1529,1260787.2
1530,2706380.5
1531,799509.9
1532,2760069.0
1533,731690.2
1534,2373538.5
1535,4536099.0
1536,812949.4
1537,4080644.5
1538,4466024.5
1539,3079059.8
1540,2033630.8
1541,5361108.0
1542,2257452.0
1543,2115132.2
1544,4178209.0
1545,1338454.2
1546,1141790.1
1547,7142600.0
1548,671033.06
1549,1114331.8
1550,3468617.0
1551,3851111.8
1552,1296466.4
1553,2483870.5
1554,5351386.0
1555,4547093.0
1556,1799144.2
1557,3315062.2
1558,2897637.0
1559,8280018.5
1560,2939485.8
1561,1595404.8
1562,1980766.4
1563,2432237.2
1564,5252636.5
1565,1506300.2
1566,2730348.8
1567,469399.12
1568,1094178.2
1569,1027720.3
1570,2523641.5
1571,6082091.0
1572,7252033.0
1573,2763727.8
1574,2177358.5
1575,2206287.8
1576,5178989.0
1577,2706216.0
1578,92545.43
1579,2735167.8
1580,2014414.5
1581,3766915.8
1582,929662.5
1583,1834829.6
1584,2452591.8
1585,3630694.8
1586,3169251.0
1587,4984564.0
1588,5291375.5
1589,1836951.8
1590,4630211.0
1591,540897.8
1592,2658767.5
1593,996816.1
1594,648356.4
1595,4735952.5
1596,1460475.5
1597,5244168.5
1598,1542962.6
1599,1762767.6
1600,4814761.0
1601,2535737.0
1602,1490248.0
1603,717295.94
1604,696880.06
1605,1097411.9
1606,1447946.6
1607,4837485.5
1608,673859.44
1609,3351853.2
1610,3022756.2
1611,1577418.1
1612,3735073.0
1613,2674056.5
1614,4318725.5
1615,807365.25
1616,2357830.8
1617,1448085.2
1618,3361367.5
1619,5041228.5
1620,2301904.5
1621,1705736.1
1622,4326888.5
1623,1659456.6
1624,5385831.5
1625,1109623.2
1626,3031456.0
1627,2197032.8
1628,2024410.9
1629,2720047.5
1630,3766346.5
1631,1589637.2
1632,2595329.2
1633,507113.8
1634,4761529.0
1635,326406.8
1636,3822827.0
1637,2692142.0
1638,3869216.2
1639,2037159.2
1640,5280878.0
1641,2210921.5
1642,7069840.5
1643,1103728.9
1644,4117977.8
1645,3421211.8
1646,2895284.2
1647,2124425.0
1648,671443.3
1649,3384855.0
1650,2095024.0
1651,888780.4
1652,2388561.8
1653,837022.06
1654,3020055.0
1655,4287497.0
1656,2376481.8
1657,2162600.2
1658,1433759.5
1659,1338482.9
1660,2446997.8
1661,8169504.0
1662,525926.56
1663,1193475.9
1664,1623778.9
1665,1183405.5
1666,4867404.5
1667,1533310.6
1668,425742.28
1669,1190454.0
1670,1107618.0
1671,1162918.4
1672,1604266.6
1673,1376057.0
1674,298992.1
1675,1198279.2
1676,1517729.2
1677,413392.56
1678,3003697.8
1679,2813541.8
1680,3420399.5
1681,1024630.75
1682,1754213.0
1683,6683192.5
1684,1081099.4
1685,738022.5
1686,871861.5
1687,2999251.2
1688,1700666.4
1689,5415152.0
1690,5761435.5
1691,5166308.0
1692,560593.5
1693,1704305.9
1694,2732891.5
1695,2299963.2
1696,3758587.2
1697,1795120.4
1698,5020766.0
1699,5161562.5
1700,233846.7
1701,4688576.0
